season,week,home_away,opponent,home_odds,draw_odds,away_odds,team_yellow,team_red,opp_yellow,opp_red,team_fouls,opp_fouls
2023-24,1,A,KAYSERISOR,4.73,3.94,1.35,2,0,2,0,6,13
2023-24,2,H,TRABZONSPOR,1.53,3.46,3.82,4,0,3,0,21,7
2023-24,3,A,GAZIANTEP FK,5.22,4.10,1.30,0,0,2,0,13,11
2023-24,4,H,SAMSUNSPOR,1.24,4.39,6.12,1,0,3,0,19,16
2023-24,5,A,BASAKSEHIR,3.49,3.16,1.67,2,0,3,0,15,17
2023-24,6,A,ISTANBULSPOR,8.57,5.41,1.11,2,0,1,0,16,13
2023-24,7,H,ANKARAGUCU,1.09,5.63,9.21,0,0,3,0,11,9
2023-24,8,A,ANTALYASPOR,3.99,3.32,1.54,3,0,1,0,21,15
2023-24,9,H,BESIKTAS,1.47,3.62,4.05,3,0,6,1,12,18
2023-24,10,A,CAYKUR RIZESPOR,6.63,4.67,1.19,3,0,3,0,11,15
2023-24,11,H,KASIMPASA,1.23,7.42,10.56,2,0,3,0,11,12
2023-24,12,A,HATAYSPOR,5.46,4.41,1.26,1,0,2,0,11,16
2023-24,13,H,ALANYASPOR,1.08,5.90,9.39,1,0,1,0,12,8
2023-24,14,A,PENDIKSPOR,7.30,5.12,1.15,3,0,2,0,12,9
2023-24,15,H,ADANA DEMIRSPOR,1.14,5.38,7.16,2,0,0,0,15,9
2023-24,16,H,FATIH KARAGUMRUK,1.13,5.23,7.97,3,0,3,0,10,11
2023-24,17,A,FENERBAHCE,1.92,3.23,2.68,4,0,3,0,26,19
2023-24,18,H,KONYASPOR,1.15,4.90,7.91,3,0,3,0,20,14
2023-24,19,A,SIVASSPOR,4.15,3.49,1.49,3,0,0,0,20,9
2023-24,20,H,KAYSERISOR,1.05,6.49,10.55,1,0,6,0,7,17
2023-24,21,A,TRABZONSPOR,3.55,3.31,1.61,4,0,1,0,18,14
2023-24,22,H,ISTANBULSPOR,1.00,7.38,14.20,2,0,5,1,11,22
2023-24,23,H,GAZIANTEP FK,1.00,6.60,11.60,1,0,5,0,7,10
2023-24,24,A,SAMSUNSPOR,4.33,3.69,1.45,1,0,2,0,5,14
2023-24,25,H,BASAKSEHIR,1.18,4.94,6.99,2,0,2,0,14,11
2023-24,26,A,ANKARAGUCU,3.87,3.39,1.54,1,0,1,0,15,6
2023-24,27,H,ANTALYASPOR,1.17,5.06,7.06,2,0,4,0,14,14
2023-24,28,A,BESIKTAS,2.87,3.29,1.86,0,0,2,1,15,7
2023-24,29,H,CAYKUR RIZESPOR,1.13,5.59,7.89,1,0,1,0,18,13
2023-24,30,A,KASIMPASA,4.88,4.16,1.34,1,0,4,0,9,12
2023-24,31,H,HATAYSPOR,1.05,6.58,12.05,2,0,2,0,17,8
2023-24,32,A,ALANYASPOR,5.13,4.33,1.31,0,0,2,0,14,12
2023-24,33,H,PENDIKSPOR,1.10,5.98,8.78,1,0,2,0,15,8
2023-24,34,A,ADANA DEMIRSPOR,5.28,4.39,1.29,0,0,2,0,9,8
2023-24,35,H,SIVASSPOR,1.00,7.40,12.35,0,0,3,0,13,13
2023-24,36,A,FATIH KARAGUMRUK,5.76,4.33,1.27,0,0,0,0,9,11
2023-24,37,H,FENERBAHCE,2.00,3.49,2.47,4,0,7,0,18,10
2023-24,38,A,KONYASPOR,6.06,2.15,1.56,2,0,2,0,13,9
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,